Year,Metric,Dimension,Category,Status,Source, Mean , SD , p10 , p25 , p50 , p75 , p90 , N 
2015,GVA per worker,1. All,All,Non-Exporter,ABS," 52,500 "," 146,500 "," 4,500 "," 15,000 "," 34,000 "," 66,000 "," 114,000 "," 1,621,850 "
2016,GVA per worker,1. All,All,Non-Exporter,ABS," 43,500 "," 77,000 "," 4,000 "," 13,500 "," 29,500 "," 58,000 "," 97,000 "," 1,700,950 "
2017,GVA per worker,1. All,All,Non-Exporter,ABS," 46,500 "," 90,500 "," 5,000 "," 14,000 "," 32,000 "," 61,500 "," 100,000 "," 1,749,000 "
2018,GVA per worker,1. All,All,Non-Exporter,ABS," 46,500 "," 352,500 "," 5,000 "," 14,000 "," 30,500 "," 58,000 "," 103,000 "," 1,689,500 "
2019,GVA per worker,1. All,All,Non-Exporter,ABS," 45,500 "," 102,500 "," 3,000 "," 12,000 "," 28,500 "," 56,500 "," 102,500 "," 1,801,100 "
2020,GVA per worker,1. All,All,Non-Exporter,ABS," 38,500 "," 86,500 "," 1,500 "," 9,500 "," 25,000 "," 49,000 "," 87,500 "," 1,724,100 "
2021,GVA per worker,1. All,All,Non-Exporter,ABS," 45,000 "," 246,500 "," 1,500 "," 10,000 "," 26,000 "," 53,000 "," 95,000 "," 1,854,750 "
2022,GVA per worker,1. All,All,Non-Exporter,ABS," 45,000 "," 94,000 "," 3,000 "," 12,500 "," 29,500 "," 58,000 "," 98,000 "," 1,814,650 "
2005,GVA per worker,1. All,All,Exporter,ABS-TiG," 85,000 "," 321,000 "," 9,000 "," 26,000 "," 54,000 "," 98,000 "," 180,500 "," 132,100 "
2006,GVA per worker,1. All,All,Exporter,ABS-TiG," 83,000 "," 286,000 "," 9,000 "," 27,500 "," 54,500 "," 100,500 "," 175,500 "," 135,100 "
2007,GVA per worker,1. All,All,Exporter,ABS-TiG," 88,500 "," 484,000 "," 6,000 "," 30,500 "," 60,500 "," 109,000 "," 178,000 "," 132,050 "
2008,GVA per worker,1. All,All,Exporter,ABS-TiG," 85,500 "," 668,000 "," 7,500 "," 27,500 "," 53,500 "," 99,000 "," 173,500 "," 150,300 "
2009,GVA per worker,1. All,All,Exporter,ABS-TiG," 76,000 "," 564,000 "," 6,500 "," 24,500 "," 50,500 "," 87,500 "," 154,000 "," 153,200 "
2010,GVA per worker,1. All,All,Exporter,ABS-TiG," 79,000 "," 480,500 "," 5,500 "," 24,000 "," 53,000 "," 94,500 "," 165,000 "," 154,950 "
2011,GVA per worker,1. All,All,Exporter,ABS-TiG," 81,500 "," 510,500 "," 8,500 "," 29,000 "," 56,500 "," 99,500 "," 165,500 "," 160,750 "
2012,GVA per worker,1. All,All,Exporter,ABS-TiG," 80,500 "," 479,500 "," 8,000 "," 27,000 "," 54,500 "," 97,500 "," 169,500 "," 167,800 "
2013,GVA per worker,1. All,All,Exporter,ABS-TiG," 83,000 "," 441,000 "," 9,500 "," 27,000 "," 54,500 "," 98,000 "," 172,500 "," 184,600 "
2014,GVA per worker,1. All,All,Exporter,ABS-TiG," 85,500 "," 236,500 "," 11,000 "," 30,500 "," 58,000 "," 104,500 "," 183,000 "," 186,950 "
2015,GVA per worker,1. All,All,Exporter,ABS-TiG," 85,000 "," 624,000 "," 9,500 "," 28,000 "," 57,000 "," 98,500 "," 166,000 "," 186,200 "
2016,GVA per worker,1. All,All,Exporter,ABS-TiG," 78,500 "," 803,500 "," 6,500 "," 22,000 "," 50,000 "," 91,500 "," 146,000 "," 173,100 "
2017,GVA per worker,1. All,All,Exporter,ABS-TiG," 86,500 "," 823,000 "," 13,000 "," 34,500 "," 54,500 "," 95,000 "," 162,000 "," 186,200 "
2018,GVA per worker,1. All,All,Exporter,ABS-TiG," 77,000 "," 1,061,500 "," 9,000 "," 26,500 "," 48,500 "," 96,000 "," 155,000 "," 186,000 "
2019,GVA per worker,1. All,All,Exporter,ABS-TiG," 83,000 "," 343,500 "," 9,000 "," 28,000 "," 52,000 "," 91,000 "," 157,500 "," 227,450 "
2020,GVA per worker,1. All,All,Exporter,ABS-TiG," 65,000 "," 310,000 "," 7,000 "," 23,000 "," 48,500 "," 79,500 "," 128,000 "," 209,050 "
2021,GVA per worker,1. All,All,Exporter,ABS-TiG," 75,000 "," 798,000 "," 3,000 "," 21,500 "," 44,500 "," 89,000 "," 159,500 "," 226,850 "
2022,GVA per worker,1. All,All,Exporter,ABS-TiG," 79,000 "," 236,500 "," 11,000 "," 29,000 "," 56,500 "," 99,500 "," 160,000 "," 225,650 "
2005,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 52,500 "," 130,500 "," 4,000 "," 15,500 "," 34,500 "," 64,500 "," 112,500 "," 1,468,300 "
2006,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 54,000 "," 144,500 "," 3,500 "," 16,500 "," 36,000 "," 68,500 "," 117,000 "," 1,410,850 "
2007,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 53,500 "," 101,500 "," 3,500 "," 15,500 "," 36,000 "," 68,500 "," 118,000 "," 1,413,100 "
2008,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 49,500 "," 83,000 "," 2,000 "," 13,500 "," 33,500 "," 63,500 "," 110,500 "," 1,546,600 "
2009,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 48,500 "," 2,814,500 "," 2,500 "," 12,500 "," 30,000 "," 57,500 "," 103,000 "," 1,483,500 "
2010,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 48,000 "," 84,000 "," 2,500 "," 13,000 "," 31,000 "," 60,000 "," 107,500 "," 1,475,900 "
2011,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 47,500 "," 96,500 "," 2,500 "," 13,500 "," 31,500 "," 60,500 "," 107,500 "," 1,553,750 "
2012,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 49,000 "," 165,500 "," 3,000 "," 14,000 "," 32,000 "," 62,000 "," 109,000 "," 1,555,100 "
2013,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 51,500 "," 153,000 "," 3,500 "," 14,000 "," 33,500 "," 64,500 "," 110,500 "," 1,610,800 "
2014,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 52,000 "," 116,500 "," 4,000 "," 14,500 "," 33,500 "," 66,000 "," 116,000 "," 1,662,200 "
2015,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 51,500 "," 123,500 "," 4,500 "," 15,000 "," 33,500 "," 65,500 "," 113,000 "," 1,734,350 "
2016,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 44,500 "," 105,500 "," 3,500 "," 13,000 "," 29,500 "," 58,000 "," 98,000 "," 1,826,500 "
2017,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 46,000 "," 92,000 "," 5,000 "," 14,000 "," 31,500 "," 61,500 "," 100,500 "," 1,874,950 "
2018,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 46,000 "," 147,000 "," 4,500 "," 14,000 "," 30,000 "," 58,000 "," 103,000 "," 1,827,750 "
2019,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 45,000 "," 141,000 "," 3,000 "," 12,000 "," 28,000 "," 56,000 "," 100,500 "," 1,960,700 "
2020,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 38,500 "," 84,000 "," 1,500 "," 9,500 "," 24,000 "," 48,500 "," 89,000 "," 1,950,150 "
2021,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 44,000 "," 245,500 "," 1,000 "," 10,000 "," 26,000 "," 51,000 "," 93,000 "," 1,966,650 "
2022,GVA per worker,1. All,All,Non-Exporter,ABS-TiG," 44,500 "," 78,000 "," 3,000 "," 12,000 "," 29,000 "," 57,000 "," 96,000 "," 1,923,050 "
2011,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 96,500 "," 307,500 "," 18,500 "," 37,000 "," 64,500 "," 107,000 "," 176,500 "," 2,150 "
2012,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 97,500 "," 255,500 "," 19,000 "," 37,000 "," 64,500 "," 107,500 "," 182,000 "," 2,250 "
2013,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 96,000 "," 216,500 "," 20,000 "," 39,000 "," 67,000 "," 109,500 "," 178,500 "," 2,400 "
2014,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 99,000 "," 207,000 "," 22,500 "," 40,500 "," 70,000 "," 114,000 "," 183,500 "," 2,500 "
2015,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 97,500 "," 217,000 "," 24,000 "," 41,000 "," 68,000 "," 110,500 "," 184,500 "," 2,600 "
2016,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 100,500 "," 325,000 "," 24,500 "," 41,500 "," 67,000 "," 107,500 "," 175,500 "," 2,500 "
2017,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2018,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2019,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 94,000 "," 195,500 "," 23,500 "," 41,000 "," 64,500 "," 105,500 "," 172,000 "," 1,950 "
2020,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 92,000 "," 295,500 "," 14,500 "," 35,000 "," 63,500 "," 104,000 "," 165,500 "," 1,800 "
2021,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 99,000 "," 150,500 "," 22,000 "," 43,000 "," 71,500 "," 120,500 "," 191,000 "," 2,250 "
2022,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS," 96,000 "," 117,500 "," 24,000 "," 45,500 "," 72,000 "," 116,500 "," 181,500 "," 2,200 "
2011,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 59,500 "," 241,500 "," 7,000 "," 16,500 "," 34,000 "," 60,500 "," 109,500 "," 2,300 "
2012,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 57,500 "," 187,000 "," 7,500 "," 15,500 "," 32,500 "," 60,000 "," 107,000 "," 2,400 "
2013,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 57,500 "," 133,500 "," 8,000 "," 16,500 "," 33,500 "," 64,000 "," 113,000 "," 2,750 "
2014,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 63,000 "," 171,000 "," 7,500 "," 17,000 "," 34,000 "," 65,000 "," 119,000 "," 2,850 "
2015,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 58,500 "," 195,500 "," 8,000 "," 17,500 "," 32,000 "," 63,500 "," 116,000 "," 3,100 "
2016,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 56,000 "," 256,500 "," 7,000 "," 16,000 "," 31,500 "," 58,000 "," 107,500 "," 3,000 "
2017,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2018,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2019,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 60,500 "," 160,500 "," 9,000 "," 18,500 "," 34,500 "," 61,500 "," 116,500 "," 2,050 "
2020,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 80,500 "," 1,487,500 "," 5,000 "," 13,500 "," 28,000 "," 54,000 "," 105,000 "," 2,100 "
2021,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 64,000 "," 177,500 "," 7,500 "," 18,000 "," 35,000 "," 70,000 "," 122,500 "," 2,650 "
2022,GVA per worker,2. Sizeband,Large (250+),Non-Exporter,ABS," 66,000 "," 170,000 "," 9,500 "," 20,000 "," 36,500 "," 69,000 "," 127,000 "," 2,800 "
2011,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 78,500 "," 194,500 "," 22,500 "," 39,500 "," 60,500 "," 91,500 "," 148,000 "," 9,400 "
2012,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 80,000 "," 199,000 "," 21,500 "," 38,000 "," 59,500 "," 94,500 "," 147,000 "," 10,250 "
2013,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 79,000 "," 79,000 "," 22,500 "," 39,000 "," 62,500 "," 98,000 "," 155,500 "," 10,400 "
2014,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 86,500 "," 92,500 "," 24,000 "," 40,000 "," 64,000 "," 103,000 "," 167,000 "," 10,400 "
2015,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 83,000 "," 180,000 "," 24,500 "," 39,500 "," 63,000 "," 103,000 "," 156,000 "," 11,050 "
2016,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 84,000 "," 176,000 "," 24,000 "," 40,500 "," 62,000 "," 99,500 "," 156,500 "," 10,800 "
2017,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 88,500 "," 218,000 "," 24,000 "," 40,500 "," 63,500 "," 102,500 "," 165,000 "," 10,550 "
2018,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 81,500 "," 178,000 "," 25,000 "," 40,000 "," 61,500 "," 96,000 "," 151,500 "," 11,000 "
2019,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 76,500 "," 120,500 "," 26,000 "," 41,000 "," 61,000 "," 94,500 "," 144,000 "," 11,650 "
2020,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 72,000 "," 64,500 "," 19,000 "," 35,500 "," 57,000 "," 89,000 "," 140,000 "," 11,450 "
2021,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 86,000 "," 90,500 "," 22,500 "," 43,500 "," 68,000 "," 108,000 "," 169,000 "," 11,200 "
2022,GVA per worker,2. Sizeband,Medium (50-249),Exporter,ABS," 84,500 "," 85,000 "," 21,500 "," 42,500 "," 68,000 "," 106,500 "," 164,500 "," 10,750 "
2011,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 48,000 "," 120,500 "," 5,500 "," 16,500 "," 35,000 "," 58,000 "," 95,000 "," 12,150 "
2012,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 53,000 "," 140,000 "," 6,500 "," 18,000 "," 37,000 "," 62,000 "," 105,000 "," 12,900 "
2013,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 53,000 "," 101,500 "," 8,500 "," 19,500 "," 38,000 "," 62,000 "," 101,500 "," 14,250 "
2014,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 57,000 "," 128,000 "," 8,000 "," 19,500 "," 39,000 "," 66,500 "," 111,000 "," 14,800 "
2015,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 56,500 "," 97,000 "," 7,000 "," 18,500 "," 37,000 "," 66,000 "," 113,000 "," 15,650 "
2016,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 51,000 "," 88,500 "," 8,500 "," 18,500 "," 35,500 "," 61,000 "," 103,000 "," 15,300 "
2017,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 49,000 "," 68,500 "," 9,000 "," 18,500 "," 36,500 "," 60,500 "," 97,500 "," 15,800 "
2018,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 48,500 "," 119,500 "," 9,000 "," 19,500 "," 35,000 "," 58,000 "," 94,500 "," 16,350 "
2019,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 47,500 "," 153,000 "," 7,500 "," 18,000 "," 35,000 "," 56,500 "," 88,500 "," 16,850 "
2020,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 42,000 "," 106,000 "," 3,000 "," 11,500 "," 29,000 "," 53,500 "," 89,000 "," 17,200 "
2021,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 52,000 "," 76,000 "," 6,000 "," 16,500 "," 37,000 "," 66,500 "," 106,000 "," 17,500 "
2022,GVA per worker,2. Sizeband,Medium (50-249),Non-Exporter,ABS," 55,000 "," 100,000 "," 7,000 "," 18,000 "," 38,500 "," 66,500 "," 106,000 "," 17,050 "
2011,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 67,500 "," 85,500 "," 2,500 "," 18,000 "," 45,500 "," 89,500 "," 152,500 "," 136,450 "
2012,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 68,000 "," 87,000 "," 2,500 "," 18,000 "," 45,000 "," 88,500 "," 158,500 "," 143,850 "
2013,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 71,500 "," 98,000 "," 3,000 "," 17,500 "," 45,000 "," 90,000 "," 164,500 "," 161,200 "
2014,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 76,500 "," 108,000 "," 5,000 "," 23,000 "," 51,500 "," 97,000 "," 174,000 "," 154,650 "
2015,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 69,500 "," 97,000 "," 5,000 "," 20,000 "," 48,000 "," 90,500 "," 154,000 "," 159,450 "
2016,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 87,500 "," 192,000 "," 3,000 "," 17,000 "," 44,000 "," 91,500 "," 155,000 "," 147,750 "
2017,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2018,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2019,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 81,500 "," 228,500 "," 4,500 "," 23,000 "," 45,000 "," 82,500 "," 154,500 "," 200,050 "
2020,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 54,500 "," 260,500 "," 4,500 "," 17,000 "," 35,500 "," 68,500 "," 119,500 "," 176,850 "
2021,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 61,000 "," 249,500 "," 1,000 "," 16,000 "," 36,000 "," 70,000 "," 147,000 "," 204,900 "
2022,GVA per worker,2. Sizeband,Micro (0-9),Exporter,ABS," 67,500 "," 156,500 "," 8,000 "," 20,000 "," 46,000 "," 88,000 "," 150,000 "," 200,850 "
2011,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 48,000 "," 72,000 "," 2,500 "," 13,500 "," 31,500 "," 61,500 "," 108,500 "," 1,025,500 "
2012,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 50,000 "," 70,500 "," 3,000 "," 14,000 "," 32,000 "," 64,000 "," 111,500 "," 1,107,700 "
2013,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 52,000 "," 84,500 "," 3,500 "," 14,500 "," 34,000 "," 65,500 "," 113,000 "," 1,313,600 "
2014,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 53,500 "," 113,000 "," 4,000 "," 14,500 "," 34,000 "," 68,000 "," 119,000 "," 1,383,600 "
2015,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 53,000 "," 152,000 "," 4,500 "," 15,000 "," 34,000 "," 67,000 "," 115,000 "," 1,476,400 "
2016,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 43,000 "," 77,000 "," 3,500 "," 13,000 "," 29,500 "," 57,500 "," 97,000 "," 1,547,050 "
2017,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2018,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2019,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 45,500 "," 100,000 "," 2,500 "," 11,500 "," 28,000 "," 57,000 "," 104,000 "," 1,650,600 "
2020,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 38,500 "," 57,000 "," 1,000 "," 9,500 "," 25,000 "," 49,000 "," 87,500 "," 1,576,300 "
2021,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 45,000 "," 243,500 "," 1,000 "," 10,000 "," 26,000 "," 51,500 "," 94,000 "," 1,695,100 "
2022,GVA per worker,2. Sizeband,Micro (0-9),Non-Exporter,ABS," 45,000 "," 79,000 "," 2,500 "," 12,000 "," 29,000 "," 58,000 "," 98,000 "," 1,649,400 "
2011,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 80,000 "," 139,000 "," 21,000 "," 37,500 "," 61,500 "," 97,500 "," 156,000 "," 30,200 "
2012,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 81,000 "," 992,000 "," 18,500 "," 35,000 "," 57,500 "," 91,500 "," 149,500 "," 33,800 "
2013,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 79,500 "," 82,500 "," 17,500 "," 36,000 "," 59,500 "," 96,000 "," 157,500 "," 36,400 "
2014,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 85,000 "," 93,500 "," 20,500 "," 38,000 "," 62,500 "," 102,000 "," 165,500 "," 37,000 "
2015,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 82,500 "," 543,000 "," 16,000 "," 35,500 "," 61,500 "," 99,500 "," 154,000 "," 36,900 "
2016,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 82,000 "," 599,500 "," 20,500 "," 37,000 "," 58,500 "," 98,000 "," 153,500 "," 37,200 "
2017,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 82,500 "," 603,000 "," 21,000 "," 38,000 "," 59,500 "," 100,000 "," 156,000 "," 37,300 "
2018,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 76,000 "," 286,000 "," 20,500 "," 35,000 "," 57,000 "," 96,000 "," 144,000 "," 39,700 "
2019,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 76,500 "," 325,500 "," 19,000 "," 35,000 "," 56,500 "," 91,500 "," 144,500 "," 39,150 "
2020,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 71,000 "," 175,000 "," 14,500 "," 32,000 "," 54,000 "," 83,500 "," 138,500 "," 38,500 "
2021,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 81,000 "," 139,000 "," 14,500 "," 37,000 "," 62,500 "," 101,000 "," 165,500 "," 35,600 "
2022,GVA per worker,2. Sizeband,Small (10-49),Exporter,ABS," 79,500 "," 161,000 "," 16,500 "," 35,000 "," 62,500 "," 101,500 "," 158,500 "," 37,550 "
2011,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 49,000 "," 72,000 "," 6,500 "," 17,500 "," 35,000 "," 58,500 "," 99,500 "," 88,950 "
2012,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 44,500 "," 60,000 "," 7,000 "," 16,000 "," 32,500 "," 55,000 "," 88,500 "," 100,650 "
2013,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 45,500 "," 57,000 "," 6,500 "," 16,000 "," 31,500 "," 56,500 "," 93,500 "," 117,050 "
2014,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 47,000 "," 90,000 "," 6,500 "," 15,000 "," 31,000 "," 56,000 "," 95,000 "," 125,300 "
2015,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 44,500 "," 68,500 "," 6,500 "," 15,000 "," 31,500 "," 57,500 "," 93,500 "," 126,700 "
2016,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 48,000 "," 69,000 "," 7,000 "," 15,500 "," 33,000 "," 60,500 "," 99,000 "," 135,600 "
2017,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 44,500 "," 92,000 "," 6,500 "," 14,500 "," 31,000 "," 58,000 "," 94,500 "," 135,650 "
2018,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 42,500 "," 94,500 "," 7,000 "," 14,500 "," 29,000 "," 54,500 "," 86,500 "," 132,250 "
2019,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 43,000 "," 125,500 "," 6,000 "," 14,000 "," 30,500 "," 55,500 "," 90,500 "," 131,600 "
2020,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 40,500 "," 152,500 "," 2,500 "," 9,000 "," 25,500 "," 50,000 "," 88,000 "," 128,500 "
2021,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 45,000 "," 291,500 "," 3,500 "," 11,500 "," 28,500 "," 58,500 "," 99,500 "," 139,550 "
2022,GVA per worker,2. Sizeband,Small (10-49),Non-Exporter,ABS," 45,000 "," 194,500 "," 5,500 "," 13,500 "," 32,000 "," 57,500 "," 96,000 "," 145,400 "
2005,GVA per worker,2. Sizeband,Large (250+),Exporter,ABS-TiG," 110,000 "," 798,500 "," 17,000 "," 31,500 "," 52,500 "," 89,000 "," 149,000 "," 3,200 "
